tweet,label
"dunno justin read mention . justin god knows , hope follow <hashtag> believe 15",1
"logic dumb , even crop name photo . tsk .",1
put casper box ! looved battle ! <hashtag> cr kk bitch,1
thanks sir > > trip lil mama ... keep doin ya thang !,1
visiting brother tmr bestest birthday gift eveerrr ! ! !,1
yay ! ! <hashtag> life completed . tweet / facebook let know please,1
"<hashtag> 1 next album title : feel / rollercoaster life . song cocept : life , <hashtag> yo lo , becoming famous ? love 14 <hashtag> follow plz ! love x15",1
workingg hard hardly workingg rt hardee's future coworker,1
saw . replying bit .,1
belong,1
anddd cheer <hashtag> nationals 2013 ?,1
send invitation shop on-line ! find everything need - without leaving home ...,1
"woke , going go church",1
agreed ! 12 days left though,1
monet katemelo,1
like dammm <youser> lexis got lot say twitter lol,1
grateful today dream fulfilled ! ! heart full - first 3 completed tracks arrived back new york ! <hashtag> yes lord !,1
home affairs shall later,1
barca bout beat real madrid saturday doe,1
lot parts asia . especially rats live country live grains . supposed quite tasty .,1
even sleeping . shut cho ole go back sleep lookin ass,1
worlds best dad . love,1
ab jaeyay werna meeting khatam hi hojaeygi baaqi ki buttering baad may karaygay hum sab,1
one doubts ability !,1
check tweet picture . outfit .,1
got mid-term impressed ! ! <hashtag> happy,1
"summer days : 1 . ) work 10:30- 2:30 ish .. 2 . ) home , shower , & eat ... 3 . ) go till whenever",1
lol nooo .. food ur friend,1
<hashtag> 16 million britney fan rt tweet,1
seriously though .. called vanity fairest,1
"lol chloe :') ill teach yous cook , pros end !",1
"lol , im going eat something ... chicken",1
"questions ? put preston short nap mikes home another hour , feel like answer q's ! ! make ' em original",1
friday payday & 4/20 ? ? hell yeah <hashtag> reasons 2 birdman hand rub,1
thank love & & def get done ) plenty want framed lols,1
week thanksss ! ? love,1
"<hashtag> ff good , hilarious , sweet kind friend , loves toilet paper , always made laugh needed ! love",1
apparently ),1
"live life quote "" live life moment cos everything else uncertain "" - louis tomlinson",1
cannot wait see please notice follow ?,1
could bigger ' ones,1
<hashtag> get major points olivia brown,1
ty well ! know would without sister christ ! truly blessing kingdom !,1
"love southall travel , visit southall visit first",1
care lot ones love ... good morning share friends .,1
love ! love please rt,1
blonde yet ?,1
wait brother one ! let us get picture,1
dont first thing ! plus beat bridge traffic,1
japan nicest rivers !,1
oh hi please follow,1
new drawing based waiting knowing fav color,1
"seen though ask bit annoying happy haha , ooo really ? ?",1
need 17 followers ! please follow get 500 followers saturday support ben kelly <hashtag> team jessie <hashtag> voice uk,1
want dream like thatd ; hahah yolo . love,1
"well mr . schmidt / knight , charmer ? made day five gazillion times better . love !",1
probs hope going well !,1
watching hehe ) ),1
"shower bed , night night bbs",1
"happy front people like , kills .",1
martina gonna make video call maybe boys,1
laying little cuddle buddy tonight,1
"aahh , sorry love ... know ace . )",1
<hashtag> zu ers holding midst midterms ? remember secret success good night sleep,1
"watching first 48 , half followers lol",1
get follow back fellow <hashtag> tw fan mily member please,1
okay next definitely hanging,1
figured birthday mike situation jersey shore .. july 4th good day get fireworks,1
dude dident say one thing today ! ? ! starts trying say shit ? k .,1
get 3 followers tonight happy nice . like tweets . try best,1
yeah quite surprised . even called score .,1
school girls,1
hehe love well hello,1
sleeping,1
love thought sweet proud face handed made tear ! xoxoxo,1
<hashtag> smack kk like,1
"people judge & criticize , remember says nothing & everything",1
<youser> <youser> youmm dyouh ! told yoyou ! need come cracow,1
"<youser> aww , yoyou sweet kind . smyourf . love yoyou & talking lifts spirits well . love",1
"give dope dick , till feel stomach , eyes rolling back & toes curling",1
"give dope dick , till feel stomach , eyes rolling back & toes curling",1
happy 4.20 reals . sparking name .,1
know ! cannot believe ! send picture hall !,1
rt help us trend jaomikay kathrynbernardoasmikay thankyou !,1
rt help us trend jaomikay kathrynbernardoasmikay thankyou !,1
rt help us trend jaomikay kathrynbernardoasmikay thankyou !,1
got 2 cold 40s fridge,1
heres kids hate giving speeches,1
gunun sorusu mind via,1
old enough going long lost family,1
.. glad ur ok sure almost c nite nite,1
meal + cinema katie,1
thought since bieber fan arnt many school assumed team,1
smiles chikaroo ? love,1
know spanish,1
every 24 hours,1
follow cos fully sick dog,1
thanks super sexy gold show ladies ! fun shopping !,1
always pleasure marie,1
sure really aware twitter . hyena nitrous oxide might confuse .,1
vinco tresorpack 6 ( difficulty 10 10 object : disassemble reassemble wooden pieces beautiful wo ...,-1
glad dot taks tomorrow ! ! <hashtag> thankful <hashtag> start ho,-1
1-3 vs celtics regular season = fucked play playoffs,-1
could actually kill girl sorry ! ! !,-1
find hard believe im afraid,-1
wish could night tonight !,-1
got kicked wgm,-1
rt <youser> <youser> <youser> yes ! tell ! lips closed okay,-1
perfect,-1
"<yoyoyouser> hi harry ! yoyoyou havea good time ayoyoyous ? didnt get 2 see yoyoyou maybe next year ! follow back yoyoyou , woyoyoyould bea dreamcome tryoyoyouex",-1
introduction programming c + + ( 2nd edition solid foundation basics c + + programming ...,-1
introduction programming c + + ( 2nd edition solid foundation basics c + + programming ...,-1
introduction programming c + + ( 2nd edition solid foundation basics c + + programming ...,-1
white . <hashtag> aw,-1
dan love miss ! sad <hashtag> general,-1
many wonderful building dc still miss,-1
annoying secretly find good ...,-1
post-boom spanish american fiction ( suny series latin american iberian thought culture ...,-1
layers heart ( paperback journey inspired recent robbery took place united sta ...,-1
layers heart ( paperback journey inspired recent robbery took place united sta ...,-1
guess texted wants us back ( ( (,-1
<hashtag> 2 farrow ( v litter offence ; wilful dispersal piglets ~ continued,-1
99000 people barca's ground tonight gonna see chelsea get absolutly destroyed ! 100million watch telly,-1
mlb 07 show ( video game mlb 07 : show,-1
rt <hashtag> bieber following,-1
rt <hashtag> bieber following,-1
rt <hashtag> bieber following,-1
even care ? dont want white ass anyways,-1
ugh idk got hopes ! ! ! plans never work ! ! !,-1
ummm playing trials hd ignoring fact need 7,-1
trying get tickets vancouver show . row 1 $ 1500 ? haaa <hashtag> happening,-1
"04x27 custom picture frame / poster frame 1.5 "" wide complete american maple brown frame ( 17015 frame ...",-1
sooo missed music class ! mean ! .. mi ago fail tha test thurs .. ... mi nah study music,-1
straight taller cute boys,-1
"bloodforge worth fighting get . decent combat , visuals stay game , story non-existent .",-1
"really want something special spontaneous ... gotta feeling something wrong , dat wont happening",-1
bye bye beach buddies ( @ fort lauderdale-hollywood international airport ( fll ) w / 47 others ),-1
"damn , saw spoiler told joffrey dies . much satisfaction see tv . <hashtag> game thrones",-1
realized still know prom dates tux looks like .. hmm .. <hashtag> sub tweet <hashtag> super obvious sub tweet <hashtag> show <,-1
marion zimmer bradley's ravens avalon [ earphones ] ( playaway adult fiction marion zimmer bradleys belo ...,-1
get treated like,-1
"best cookies tried . ig even like chewy cookies , maybe would appeal",-1
haha afraid stir fry veg chicken,-1
always finals saturdays,-1
[ rivals ] war room 4/23 ( rivals david lockwood spencer leftwich two ... <hashtag> arizona,-1
ow im sorry : ' - ( im know englis ... therefore : ' - (,-1
surprised ! ! love,-1
people meet get dmed .. still first tweet,-1
suffering post-festival disorder,-1
getting divorced !,-1
hahahah ok ok sorry like name evey ? xd,-1
hahahah ok ok sorry like name evey ? xd,-1
hahahah ok ok sorry like name evey ? xd,-1
omfg ... hello kitty shoot antm ... jealous !,-1
stab heart . really wanted friend facebook,-1
"walthers proto 2000 ho scale diesel emd f7a powered - standard dc - soo line <hashtag> 2225 - b mars light ( red , white",-1
watching . v nothing,-1
assalamualaikum .. morning people .. stay awake even though eyes heavy,-1
everyones yd ... could get invite ? !,-1
guys honestly suck,-1
"medium cherry & black 60 "" corner tv stand powell - medium wood ( 533-275 contemporary 60 "" wide corner tv sta ...",-1
"o2 xda trion minisync - complete essentials kit ( european outlet plug , cleartouch anti-glare minisync - co ...",-1
want text . ... one person cheer,-1
hahaha know ! mission .. killing though,-1
> wanted hang 18th birthday .,-1
"cables go 03011 db25 female / female null modem cable , beige ( 6 feet / 1.82 meters line null modem seria ...",-1
know joey,-1
week half left freshman year <hashtag> sad tweet,-1
week half left freshman year <hashtag> sad tweet,-1
emotionally taken granted,-1
thanks trying veevs call,-1
women's merrell moab waterproof ( 5.5 dusty olive,-1
clearly miss young sisters . played 6 year old girl felt !,-1
wish made 18 ' love,-1
pouring rain outside . wish could go,-1
science test tomorrow ? deal !,-1
yoyou anyways ? rt <youser> <youser> miss,-1
tht one worst voicemails ever got,-1
know thought woulda aha,-1
<hashtag> loiter squad need hurry n come,-1
newpics <hashtag> nsfw <hashtag> sexy hot blonde ready game love ( 1,-1
"hannah wants playing dc saturday , sooo want go <hashtag> fair rr",-1
"jersey shore 13x25 custom picture frame / poster frame 2 "" wide complete black wood frame (8 941 frame ...",-1
"strange call "" past "" keep thinking every second ? ! !",-1
star brite economy boat hook ( 4-8- feet telescoping pole extends 4 ( 124 cm ) 8 ( 243 cm ) special f ...,-1
love cambon ! first rouge coco adore ! bad smooched cap . tragedy,-1
coastal walks : normandy brittany ( footpaths europe,-1
"confident ? ( devotional ) ( "" use three hundred men ... "" judges 7:7 endurance confid ...",-1
happened ? love,-1
worst way miss person sitting right beside knowing things never . fml,-1
justin london school,-1
two talk upset na ! ! > < tama na galit pareho lang kayong malungkot .,-1
natrum muriaticum ( potency : lm 25 natrum muriaticum homeopathic remedy available medicated sugar pelle ...,-1
actually coffee house <hashtag> breaking,-1
seriously jerking-off strapon ? rt penalty <hashtag> masturbation indonesia decapitation .,-1
k ! hopeless ang packaging . editing pictures easy . seriously really need help <hashtag> shitty,-1
hihi ... . bt havnt hav anything,-1
"sex , straight ( harlequin blaze ) ( mass market paperback meeting handsome loner deserted beach ...",-1
wondering talk,-1
feel like bed resting ' didnt feel like coming school today,-1
